"pkg_name","pkg_version","license_group","roxygen_yn","n_depends","rversion_min","rversion_min_modified","nauthors"
"gcite",0,"GPL",1,9,NA,304.1,1
"EdSurvey",1,"GPL",1,10,302,302,11
"fdq",0,"GPL",1,8,300,300,3
"RBesT",1,"GPL",1,24,302,302,8
"recipes",0,"GPL",1,24,302,302,3
"tensorflow",0,"Apache",1,4,300,300,7
"BART",1,"GPL",0,5,210,210,7
"cleanNLP",0,"GPL",1,5,210,210,1
"lvnet",0,"GPL",0,11,NA,303.2,1
"pinbasic",0,"GPL",1,6,301,301,1
"RcppMsgPack",0,"GPL",1,2,NA,304.1,1
"SpaDES.core",0,"GPL",1,38,303,303,7
"valr",0,"MIT",1,20,301,301,2
"ggeffects",0,"GPL",1,16,302,302,1
"wTO",1,"GPL",1,7,NA,304.1,4
"ems",0,"GPL",1,0,303,303,3
"GENEAclassify",1,"GPL",1,11,214,214,5
"jmv",0,"GPL",1,15,302,302,3
"reproducible",0,"GPL",1,15,303,303,7
"canvasXpress",0,"GPL",1,8,302,302,2
"divest",0,"BSD",1,5,NA,303.3,5
"FRegSigCom",0,"GPL",1,3,NA,304.2,2
"hommel",1,"GPL",0,3,NA,304.1,3
"pkggraph",0,"GPL",1,21,304,304,2
"POUMM",1,"GPL",1,21,301,301,1
"Rdimtools",0,"GPL",1,7,NA,304.2,2
"wrapr",0,"GPL",1,3,NA,303.3,3
"DescToolsAddIns",0,"GPL",0,4,301,301,1
"giphyr",0,"MIT",1,7,302,302,1
"GJRM",0,"GPL",0,20,302,302,1
"LNIRT",0,"GPL",1,3,NA,303.2,3
"mnreadR",0,"GPL",1,2,210,210,3
"palm",1,"GPL",1,8,300,300,1
"personalized",0,"GPL",1,7,NA,304.1,4
"configr",0,"MIT",1,10,302,302,1
"dimRed",0,"GPL",1,25,300,300,1
"helixvis",0,"GPL",1,3,302,302,3
"skpr",0,"GPL",1,15,300,300,2
"sys",1,"MIT",1,1,NA,303.3,2
"fastLink",0,"GPL",1,16,301,301,3
"fingertipsR",0,"GPL",1,10,NA,304.1,7
"FSelectorRcpp",0,"GPL",1,30,303,303,4
"reqres",0,"MIT",1,13,210,210,1
"STARTS",0,"GPL",0,5,301,301,2
"AMCTestmakeR",0,"GPL",1,2,NA,304,1
"nandb",0,"BSD",1,29,NA,304.1,3
"Rcrawler",0,"MIT",1,7,NA,304.1,1
"reportReg",0,"GPL",0,0,NA,304.1,2
"aphid",1,"GPL",1,10,300,300,1
"gastempt",0,"GPL",1,19,304,304,1
"antiword",1,"GPL",1,1,NA,304.1,2
"arsenal",0,"GPL",1,13,302,302,11
