pkg_name,testthat_dir_present,testthat_R_files_lines_cnt,demo_dir_present,demo_R_files_lines_cnt,data_dir_present,data_size_total,data_size_rda,data_size_rdata,data_size_txt,data_size_gz,data_size_csv,data_cnt_total,data_cnt_rda,data_cnt_rdata,data_cnt_txt,data_cnt_gz,data_cnt_csv,src_dir_present,src_files_size_total,src_files_size_h,src_files_size_cpp,src_files_size_c,src_files_cnt_total,src_files_cnt_h,src_files_cnt_cpp,src_files_cnt_c
gcite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EdSurvey,1,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fdq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBesT,1,837,0,0,1,1116,1116,0,0,0,0,4,4,0,0,0,0,1,54943,0,3654,0,5,0,2,0
recipes,1,2022,0,0,1,248560,0,248495,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
tensorflow,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BART,0,0,0,0,1,3954246,3954149,0,0,0,0,8,7,0,0,0,0,1,89491,23117,65496,782,25,11,11,1
cleanNLP,0,0,0,0,1,1920833,1920784,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
lvnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinbasic,0,0,0,0,1,3169,3169,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RcppMsgPack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4278,0,4149,0,4,0,3,0
SpaDES.core,1,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valr,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44509,0,44372,0,14,0,12,0
ggeffects,0,0,0,0,1,17500,0,17500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wTO,0,0,0,0,1,47620,0,0,47620,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ems,0,0,0,0,1,257860,0,257860,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GENEAclassify,0,0,0,0,1,919553,919553,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
jmv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reproducible,1,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canvasXpress,1,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
divest,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390888,21983,368586,0,19,10,8,0
FRegSigCom,0,0,0,0,1,149968,0,149968,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14939,0,14939,0,3,0,3,0
pkggraph,0,0,0,0,1,369248,369248,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POUMM,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9701,0,9701,0,2,0,2,0
Rdimtools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51758,2271,49205,0,10,3,5,0
wrapr,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DescToolsAddIns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
giphyr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJRM,0,0,0,0,1,332532,0,332532,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
LNIRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mnreadR,0,0,0,0,1,3320,3320,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
palm,1,0,0,0,1,402345,0,0,0,0,0,1,0,0,0,0,0,1,3517,0,3377,0,5,0,3,0
personalized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
configr,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dimRed,1,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helixvis,0,0,0,0,1,221,221,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
skpr,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49489,0,49392,0,14,0,12,0
sys,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10265,0,0,10265,3,0,0,3
fastLink,0,0,0,0,1,3001379,0,3001178,0,0,0,7,0,6,0,0,0,1,13812,0,12766,568,5,0,2,1
fingertipsR,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSelectorRcpp,1,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18212,309,15754,1839,12,1,8,1
reqres,1,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMCTestmakeR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
