"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"gcite","gcite","Google Citation Parser","0.6","GPL","6.0.1",9,NA
"EdSurvey","EdSurvey","Education Survey","1.0.5","GPL-2","6.0.1",10,">= 3.2.0"
"fdq","fdq","Forest Data Quality","0.1","GPL-3","5.0.1",8,">= 3.0"
"RBesT","RBesT","R Bayesian Evidence Synthesis Tools","1.2-2","GPL (>= 3) | file LICENSE","6.0.1",24,">= 3.2.0"
"recipes","recipes","Preprocessing Tools to Create Design Matrices","0.1.0","GPL-2","6.0.1",24,">= 3.2.3"
"tensorflow","tensorflow","R Interface to TensorFlow","0.7","Apache License 2.0","6.0.1",4,">= 3.0"
"BART","BART","Bayesian Additive Regression Trees","1.0","GPL (>= 2)",NA,5,">= 2.10"
"cleanNLP","cleanNLP","A Tidy Data Model for Natural Language Processing","0.24","GPL-3","5.0.1",5,">= 2.10"
"lvnet","lvnet","Latent Variable Network Modeling","0.2","GPL-2",NA,11,NA
"pinbasic","pinbasic","Fast and Stable Estimation of the Probability of Informed","0.1.0","GPL-3 | file LICENSE","5.0.1",6,">= 3.1"
"RcppMsgPack","RcppMsgPack","'MsgPack' C++ Header Files","0.1.1","GPL (>= 2)","5.0.1",2,NA
"SpaDES.core","SpaDES.core","Core Utilities for Developing and Running Spatially Explicit","0.1.0","GPL-3","6.0.1",38,">= 3.3.2"
"valr","valr","Genome Interval Arithmetic in R","0.1.0","MIT + file LICENSE","5.0.1",20,">= 3.1.2"
"ggeffects","ggeffects","Create Tidy Data Frames of Marginal Effects for 'ggplot' from","0.1.0","GPL-3","6.0.1",16,">= 3.2"
"wTO","wTO","Computing Weighted Topological Overlaps (wTO) & Consensus wTO","1.1.0","GPL-2","6.0.1",7,NA
"ems","ems","Epimed Solutions Collection for Data Editing, Analysis, and","0.3.1.6","GPL (>= 2)","5.0.1",0,">= 3.3.1"
"GENEAclassify","GENEAclassify","Segmentation and Classification of Accelerometer Data","1.4.5","GPL","6.0.1",11,">= 2.14.0"
"jmv","jmv","The 'jamovi' Analyses","0.7.0.3","GPL (>= 2)","5.0.1",15,">= 3.2"
"reproducible","reproducible","A Set of Tools that Enhance Reproducibility Beyond Package","0.1.1","GPL-3","6.0.1",15,">= 3.3.2"
"canvasXpress","canvasXpress","Visualization Package for CanvasXpress in R","0.14.7","GPL-3","5.0.1",8,">= 3.2.1"
"divest","divest","Get Images Out of DICOM Format Quickly","0.1.0","BSD_3_clause + file LICENCE","5.0.1",5,NA
"FRegSigCom","FRegSigCom","Functional Regression using Signal Compression Approach","0.1.0","GPL-2","6.0.1.9000",3,NA
"hommel","hommel","Methods for Closed Testing with Simes Inequality, in Particular","1.0","GPL (>= 2)",NA,3,NA
"pkggraph","pkggraph","A Consistent and Intuitive Platform to Explore the Dependencies","0.2.0","GPL-3","6.0.1",21,">= 3.4.0"
"POUMM","POUMM","The Phylogenetic Ornstein-Uhlenbeck Mixed Model","1.2.1","GPL (>= 3.0)","5.0.1",21,">= 3.1.0"
"Rdimtools","Rdimtools","Dimension Reduction and Estimation Methods","0.1.0","GPL (>= 3)","6.0.1",7,NA
"wrapr","wrapr","Wrap R Functions for Debugging and Ease of Use","0.1.0","GPL-3","5.0.1",3,NA
"DescToolsAddIns","DescToolsAddIns","Some Functions to be Used as Shortcuts in 'RStudio'","0.9.1","GPL (>= 2)",NA,4,">= 3.1.1"
"giphyr","giphyr","R Interface to the 'Giphy' 'API'","0.1.0","MIT + file LICENSE","6.0.1",7,">= 3.2.2"
"GJRM","GJRM","Generalised Joint Regression Modelling","0.1-1","GPL (>= 2)",NA,20,">= 3.2.1"
"LNIRT","LNIRT","LogNormal Response Time Item Response Theory Models","0.1.0","GPL-2 | GPL-3","5.0.1",3,NA
"mnreadR","mnreadR","MNREAD Parameters Estimation","0.1.0","GPL-2","6.0.1",2,">= 2.10"
"palm","palm","Fitting Point Process Models via the Palm Likelihood","1.0.0","GPL","5.0.1",8,">= 3.0.0"
"personalized","personalized","Estimation and Validation Methods for Subgroup Identification","0.0.2","GPL-2","6.0.1",7,NA
"configr","configr","An Implementation of Parsing and Writing Configuration File","0.0.2","MIT + file LICENSE","5.0.1",10,">= 3.2.1"
"dimRed","dimRed","A Framework for Dimensionality Reduction","0.0.3","GPL-3 | file LICENSE","5.0.1",25,">= 3.0.0"
"helixvis","helixvis","Visualize Alpha-Helical Peptide Sequences","0.1.0","GPL-3","6.0.1",3,">= 3.2.5"
"skpr","skpr","Generate and Evaluate Optimal","0.35.1","GPL-3","6.0.1",15,">= 3.0.2"
"sys","sys","Portable System Utilities","1.0","MIT + file LICENSE","5.0.1.9000",1,NA
"fastLink","fastLink","Fast Probabilistic Record Linkage with Missing Data","0.1.0","GPL (>= 3)","5.0.1",16,">= 3.1.0"
"fingertipsR","fingertipsR","Fingertips Data for Public Health","0.1.0","GPL-3","6.0.1",10,NA
"FSelectorRcpp","FSelectorRcpp","'Rcpp' Implementation of 'FSelector' Entropy-Based Feature","0.1.0","GPL-2","6.0.1.9000",30,">= 3.3.2"
"reqres","reqres","Powerful Classes for HTTP Requests and Responses","0.2.0","MIT + file LICENSE","6.0.1",13,">= 2.10"
"STARTS","STARTS","Functions for the STARTS Model","0.0-9","GPL (>= 2)",NA,5,">= 3.1"
"AMCTestmakeR","AMCTestmakeR","Generate LaTeX Code for Auto-Multiple-Choice (AMC)","0.1.0","GPL-3","6.0.1",2,NA
"nandb","nandb","Number and Brightness Image Analysis","0.2.0","BSD_3_clause + file LICENSE","6.0.1",29,"*"
"Rcrawler","Rcrawler","Web Crawler and Scraper","0.1.1","MIT + file LICENSE","6.0.1",7,NA
"reportReg","reportReg","An Easy Way to Report Regression Analysis","0.1.0","GPL-3",NA,0,NA
"aphid","aphid","Analysis with Profile Hidden Markov Models","1.0.0","GPL-3","6.0.1",10,">= 3.0.0"
"gastempt","gastempt","Analyzing Gastric Emptying from MRI or Scintigraphy","0.4.01","GPL (>= 3)","6.0.1",19,">= 3.4.0"
"antiword","antiword","Extract Text from Microsoft Word Documents","1.0","GPL-2","6.0.1",1,NA
"arsenal","arsenal","An Arsenal of 'R' Functions for Large-Scale Statistical","0.1.2","GPL (>= 2)","5.0.1",13,">= 3.2.0"
"dtangle","dtangle","Cell Type Deconvolution from Gene Expressions","0.1.0","GPL-3","6.0.1",3,">= 2.10.0"
"httptest","httptest","A Test Environment for HTTP Requests","1.0.0","MIT + file LICENSE","5.0.1",4,">= 3.0.0"
"idefix","idefix","Efficient Designs for Discrete Choice Experiments","0.1.0","GPL-3","6.0.1",6,">= 3.1.1"
"MALDIrppa","MALDIrppa","MALDI Mass Spectrometry Data Robust Pre-Processing and Analysis","1.0.0","GPL (>= 2)",NA,8,">= 3.2.5"
"quickPlot","quickPlot","A System of Plotting Optimized for Speed and Modularity","0.1.1","GPL-3","6.0.1",17,">= 3.3.3"
"survHE","survHE","Survival Analysis in Health Economic Evaluation","1.0.4","GPL (>= 2)","6.0.1",14,">= 3.0.2"
"unrtf","unrtf","Extract Text from Rich Text Format (RTF) Documents","1.0","GPL-3","6.0.1",1,NA
"walker","walker","Efficient Bayesian Linear Regression with Time-Varying","0.1.0","GPL (>= 2)","6.0.1",11,">= 3.0.2"
"MADPop","MADPop","MHC Allele-Based Differencing Between Populations","1.1.1","GPL-3","6.1.0",13,">= 3.4.0"
"memapp","memapp","The Moving Epidemics Method Shiny Web Application","2.0","GPL (>= 2)","6.0.1",22,">= 3.4.0"
"breathteststan","breathteststan","Stan-Based Fit to Gastric Emptying Curves","0.3.0","GPL-3","6.0.1",17,">= 3.4.0"
"elasticsearchr","elasticsearchr","A Lightweight Interface for Interacting with Elasticsearch from","0.1.0","Apache License 2.0","5.0.1",5,NA
"exampletestr","exampletestr","Help for Writing Tests Based on Function Examples","0.3.0","GPL-3","6.0.1",9,NA
"gggenes","gggenes","Draw Gene Arrow Maps in 'ggplot2'","0.2.0","GPL-2","6.0.1",5,">= 3.3.2"
"huxtable","huxtable","Simply Create LaTeX and HTML Tables","0.1.0","MIT + file LICENSE","6.0.1",7,NA
"worrms","worrms","World Register of Marine Species (WoRMS) Client","0.1.0","MIT + file LICENSE","5.0.1",8,NA
"mdmb","mdmb","Model Based Treatment of Missing Data","0.1-0","GPL (>= 2)",NA,9,">= 3.1"
"webmockr","webmockr","Stubbing and Setting Expectations on 'HTTP' Requests","0.1.0","MIT + file LICENSE","6.0.1",9,NA
"WVPlots","WVPlots","Common Plots for Analysis","0.2.0","GPL-3","5.0.1",11,NA
"augSIMEX","augSIMEX","Analysis of Data with Mixed Measurement Error and","1.0","GPL (>= 2)",NA,6,NA
"autothresholdr","autothresholdr","An R Port of the 'ImageJ' Plugin 'Auto Threshold'","0.2.0","GPL-3","6.0.1",8,NA
"eulerr","eulerr","Area-Proportional Euler Diagrams","0.1.0","GPL-3","5.0.1",10,">= 3.3.1"
"jmvcore","jmvcore","Dependencies for the 'jamovi' Framework","0.2.2","GPL (>= 2)","5.0.1",5,">= 3.2"
"semtree","semtree","Recursive Partitioning for Structural Equation Models","0.9.9","GPL-3",NA,8,NA
"sessioninfo","sessioninfo","R Session Information","1.0.0","GPL-2","6.0.1.9000",7,NA
"shinyWidgets","shinyWidgets","Custom Inputs Widgets for Shiny","0.2.0","GPL-3 | file LICENSE","6.0.1",5,">= 3.2.0"
"spant","spant","MR Spectroscopy Analysis Tools","0.1.0","GPL-3","6.0.1",29,">= 2.10"
"KarsTS","KarsTS","An Interface for Karstic Time Series","1.0","GPL (>= 2)","6.0.1",20,NA
"sigr","sigr","Format Significance Summaries for Reports","0.1.3","GPL-3","5.0.1",4,NA
"egg","egg","Extensions for 'ggplot2', to Align Plots, and Set Panel Sizes","0.2.0","GPL-3","6.0.1",8,NA
"numform","numform","Tools to Format Numbers for Publication","0.0.4","GPL-2","6.0.1",1,">= 3.2.0"
"owmr","owmr","OpenWeatherMap API Wrapper","0.7.2","MIT + file LICENSE","5.0.1",7,">= 3.1.2"
"tidyRSS","tidyRSS","Tidy RSS for R","1.0.0","MIT + file LICENSE","6.0.0",9,">= 2.10"
"dexter","dexter","Data Management and Basic Analysis of Tests","0.1.7","GPL (>= 2)","5.0.1",9,">= 2.10"
"redlistr","redlistr","Tools for the IUCN Red List of Ecosystems and Species","1.0.0","GPL (>= 3)","6.0.1",11,">= 3.3.3"
"tesseract","tesseract","Open Source OCR Engine","1.0","MIT + file LICENSE","5.0.1.9000",6,NA
"VARtests","VARtests","Tests for Error Autocorrelation and ARCH Errors in Vector","1.0.1","GPL (>= 3)",NA,5,">= 3.0.2"
"hutils","hutils","Miscellaneous R Functions and Aliases","0.1.2","GPL-3","6.0.1",4,NA
"incidence","incidence","Compute, Handle, Plot and Model Incidence of Dated Events","1.0.0","MIT + file LICENSE","5.0.1",7,NA
"automultinomial","automultinomial","Autologistic and Automultinomial Spatial Regression and Variable","1.0.0","GPL-2 | GPL-3","5.0.1",11,">= 3.2.0"
"flextable","flextable","Tabular Reporting API","0.1.0","GPL-3","6.0.1",17,NA
"gibble","gibble","Component Geometry Decomposition","0.0.1","GPL-3","6.0.1",3,">= 3.3.1"
"mvord","mvord","Multivariate Ordinal Regression Models","0.0.1","GPL-3","6.0.1",4,">= 3.1.0"
"RATest","RATest","Randomization Tests","0.1.0","GPL (>= 2)","6.0.1",6,">= 3.00"
"restriktor","restriktor","Restricted Statistical Estimation and Inference for Linear","0.1-55","GPL (>= 2)",NA,6,">= 3.0.0"
"shallot","shallot","Random Partition Distribution Indexed by Pairwise Information","0.3.1","Apache License 2.0 | file LICENSE",NA,2,NA
"spatstat.utils","spatstat.utils","Experimental Subset of 'spatstat' Utilities","1.2-8","GPL (>= 2)",NA,6,">= 3.3.0"
"AMModels","AMModels","Adaptive Management Model Manager","0.1.1","GPL-3","5.0.1",6,NA
"cpt","cpt","Classification Permutation Test","0.9","GPL",NA,3,NA
"filesstrings","filesstrings","Handy String and File Manipulation","0.3.1","GPL-3","6.0.1",14,NA
"GDINA","GDINA","The Generalized DINA Model Framework","1.0.0","GPL-3","5.0.1",15,">= 3.1.0"
"greta","greta","Simple and Scalable Statistical Modelling in R","0.2.0","Apache License 2.0","6.0.1",16,">= 3.0"
"lemon","lemon","Freshing Up your 'ggplot2' Plots","0.3.0","GPL-3","5.0.1",10,">= 3.1.0"
"vennLasso","vennLasso","Variable Selection for Heterogeneous Populations","0.1.1","GPL (>= 2)","6.0.1",14,">= 3.2.0"
"rsparkling","rsparkling","R Interface for H2O Sparkling Water","0.1.0","Apache License 2.0 | file LICENSE","5.0.1",5,NA
"strip","strip","Lighten your R Model Outputs","0.1.1","MIT + file LICENSE","5.0.1",9,">= 3.1.3"
"atus","atus","American Time Use Survey Data","0.1","GPL (>= 2)","5.0.1",0,">= 2.10"
"ebimetagenomics","ebimetagenomics","EBI Metagenomics Portal","0.2","LGPL-3",NA,3,">= 3.0.0"
"spectrolab","spectrolab","Class and Methods for Hyperspectral Data","0.0.2","GPL-3","6.0.1",10,">= 3.4"
"sugrrants","sugrrants","Supporting Graphs for Analysing Time Series","0.1.0","GPL (>= 3)","6.0.1",15,">= 3.1.3"
"uavRmp","uavRmp","UAV Mission Planner","0.5.1","GPL (>= 3) | file LICENSE","6.0.1",22,">= 3.1.0"
"vistime","vistime","Interactive R Timelines using 'plotly.js'","0.1.0","GPL-3 | file LICENSE","5.0.1",2,">= 3.1.0"
"ggspatial","ggspatial","Spatial Data Framework for ggplot2","0.2.1","GPL-3","5.0.1",13,">= 2.10"
"BayesS5","BayesS5","Bayesian Variable Selection Using Simplified Shotgun Stochastic","1.22","GPL (>= 2)",NA,4,">= 3.2.4"
"commonsMath","commonsMath","JAR Files of the Apache Commons Mathematics Library","1.0.0","Apache License 2.0 | file LICENSE",NA,2,NA
"drake","drake","Data Frames in R for Make","1.0.1","GPL-3","5.0.1",19,">= 3.2.0"
