pkg_name,pkg_download_successful,pkg_download_time,pkg_download_targz_size
gcite,TRUE,0.967689990997314,11351
EdSurvey,TRUE,2.1887788772583,1071927
fdq,TRUE,0.966269969940186,15436
RBesT,TRUE,1.80278301239014,722594
recipes,TRUE,1.67177581787109,523958
tensorflow,TRUE,0.976522922515869,24506
BART,TRUE,3.68749499320984,4060127
cleanNLP,TRUE,2.7373960018158,1984466
lvnet,TRUE,0.976683855056763,33014
pinbasic,TRUE,1.07990002632141,72781
RcppMsgPack,TRUE,1.52174091339111,435971
SpaDES.core,TRUE,2.16650605201721,1127063
valr,TRUE,1.7639491558075,684212
ggeffects,TRUE,1.19955205917358,147025
wTO,TRUE,0.984503030776978,36420
ems,TRUE,1.31600117683411,310928
GENEAclassify,TRUE,2.17829084396362,1099449
jmv,TRUE,1.08498096466064,71553
reproducible,TRUE,0.970107078552246,45146
canvasXpress,TRUE,2.09617114067078,1207682
divest,TRUE,1.29782104492188,293081
FRegSigCom,TRUE,1.19761896133423,172531
hommel,TRUE,0.948186874389648,8793
pkggraph,TRUE,3.33822083473206,3078105
POUMM,TRUE,2.12864589691162,1140395
Rdimtools,TRUE,1.08155608177185,66123
wrapr,TRUE,1.07833194732666,51971
DescToolsAddIns,TRUE,0.973103046417236,45849
giphyr,TRUE,0.953337907791138,9313
GJRM,TRUE,1.92761397361755,688268
LNIRT,TRUE,0.91897988319397,17720
mnreadR,TRUE,0.970969200134277,15610
palm,TRUE,0.967293977737427,36984
personalized,TRUE,1.18639016151428,173913
configr,TRUE,0.954803943634033,6430
dimRed,TRUE,1.06772708892822,67261
helixvis,TRUE,1.07613611221313,51604
skpr,TRUE,1.40638613700867,422121
sys,TRUE,0.959038972854614,8547
fastLink,TRUE,3.51002216339111,3044239
fingertipsR,TRUE,1.18769288063049,195941
FSelectorRcpp,TRUE,1.08056306838989,65633
reqres,TRUE,1.07883214950562,69631
STARTS,TRUE,0.966462850570679,5341
AMCTestmakeR,TRUE,0.973391056060791,22055
nandb,TRUE,1.5405421257019,544520
Rcrawler,TRUE,0.969304084777832,20406
reportReg,TRUE,0.955559015274048,1782
aphid,TRUE,1.19115996360779,210563
gastempt,TRUE,1.30316710472107,266916
antiword,TRUE,1.29621505737305,256240
arsenal,TRUE,2.93821096420288,2320014
dtangle,TRUE,1.29780602455139,252575
httptest,TRUE,0.953325986862183,14437
idefix,TRUE,0.966453075408936,33724
MALDIrppa,TRUE,2.29241299629211,1562273
quickPlot,TRUE,2.86395478248596,1188126
survHE,TRUE,1.9483950138092,503700
unrtf,TRUE,1.10699796676636,64014
walker,TRUE,1.29052782058716,241504
MADPop,TRUE,1.18558406829834,112186
memapp,TRUE,1.08058905601501,58628
breathteststan,TRUE,0.961670160293579,23222
elasticsearchr,TRUE,0.969857931137085,33067
exampletestr,TRUE,0.967305183410645,22702
gggenes,TRUE,1.67782211303711,759926
huxtable,TRUE,1.53764009475708,525332
worrms,TRUE,1.47972798347473,423093
mdmb,TRUE,1.09727096557617,76755
webmockr,TRUE,0.970288038253784,30391
WVPlots,TRUE,2.30534982681274,1762759
augSIMEX,TRUE,1.08306622505188,94919
autothresholdr,TRUE,1.20105004310608,187033
eulerr,TRUE,0.968846082687378,29013
jmvcore,TRUE,0.993315935134888,25848
semtree,TRUE,1.0811460018158,95934
sessioninfo,TRUE,0.969649076461792,39277
shinyWidgets,TRUE,1.19637203216553,212233
spant,TRUE,1.69055891036987,670919
KarsTS,TRUE,3.71632099151611,1611631
sigr,TRUE,0.990633964538574,24100
egg,TRUE,3.07756900787354,1415030
numform,TRUE,1.30447506904602,233815
owmr,TRUE,2.06585192680359,1233714
tidyRSS,TRUE,1.09605193138123,87504
dexter,TRUE,1.30476689338684,317632
redlistr,TRUE,1.30221605300903,353870
tesseract,TRUE,0.956592082977295,7517
VARtests,TRUE,0.967396974563599,32033
hutils,TRUE,2.86564302444458,9848
incidence,TRUE,3.29614210128784,1728329
automultinomial,TRUE,3.14099907875061,27297
flextable,TRUE,1.18248391151428,167580
gibble,TRUE,0.950568914413452,6255
mvord,TRUE,3.99519991874695,1805480
RATest,TRUE,1.54509615898132,270667
restriktor,TRUE,3.28238415718079,76877
shallot,TRUE,10.7826919555664,3253242
spatstat.utils,TRUE,1.29293584823608,55345
AMModels,TRUE,1.27652192115784,53985
cpt,TRUE,0.951514959335327,4079
filesstrings,TRUE,1.19407296180725,38059
GDINA,TRUE,1.41796803474426,180182
greta,TRUE,6.4053270816803,2112104
lemon,TRUE,3.231290102005,428850
vennLasso,TRUE,3.15729403495789,392457
rsparkling,TRUE,1.04427719116211,12940
strip,TRUE,0.960894107818604,6094
atus,TRUE,7.66136503219604,6343672
ebimetagenomics,TRUE,2.41634798049927,4303
spectrolab,TRUE,4.6270899772644,2848928
sugrrants,TRUE,2.59443187713623,1057420
uavRmp,TRUE,3.28433609008789,1949976
vistime,TRUE,1.00961399078369,35407
ggspatial,TRUE,14.0466568470001,1138945
BayesS5,TRUE,9.18605303764343,13312
commonsMath,TRUE,14.0068128108978,1975460
drake,TRUE,9.054603099823,160987
latexpdf,TRUE,8.31937909126282,97869
link2GI,TRUE,7.24784708023071,29123
electoral,TRUE,6.70177721977234,7779
JuliaCall,TRUE,0.962944030761719,9396
microdemic,TRUE,0.949747800827026,10512
MODIS,TRUE,5.80049800872803,621156
PhenotypeSimulator,TRUE,3.92678093910217,292624
reactR,TRUE,2.45029997825623,132252
rlang,TRUE,2.72588706016541,201419
rlas,TRUE,2.42313480377197,227770
sitree,TRUE,2.00270891189575,369320
solvebio,TRUE,1.20896315574646,6519
texPreview,TRUE,0.959134101867676,11217
CrossVA,TRUE,1.20215892791748,40643
d3r,TRUE,1.30725789070129,196413
dodgr,TRUE,3.35590100288391,1726846
mmpf,TRUE,0.97840404510498,15230
mvLSW,TRUE,0.996994018554688,31369
NetworkInference,TRUE,1.74661898612976,400437
rsMove,TRUE,1.81263303756714,271938
rWind,TRUE,0.950450897216797,5572
sf,TRUE,4.03256607055664,978875
taskscheduleR,TRUE,1.80647206306458,195238
trackdem,TRUE,1.12446999549866,35480
blogdown,TRUE,1.31792902946472,33641
DEploid,TRUE,1.37271404266357,238682
isdparser,TRUE,4.44622397422791,1273955
websearchr,TRUE,0.99919605255127,6035
xaringan,TRUE,0.983291864395142,19095
bikedata,TRUE,5.07420897483826,4046310
dLagM,TRUE,0.957488059997559,9471
dynamichazard,TRUE,2.43596291542053,1071320
FishResp,TRUE,5.27451205253601,3216954
meteoland,TRUE,3.58002400398254,1865503
osmdata,TRUE,2.79080891609192,1283078
bridgesampling,TRUE,1.93482518196106,393242
cdata,TRUE,2.97855591773987,1094445
RApiDatetime,TRUE,0.981606006622314,24057
lexicon,TRUE,2.49996495246887,1135650
ciTools,TRUE,0.982844829559326,22521
poliscidata,TRUE,3.04580807685852,2026099
webTRISr,TRUE,1.16101813316345,7506
wikitaxa,TRUE,1.27102899551392,21540
xtensor,TRUE,1.23249292373657,101562
antaresRead,TRUE,2.40384912490845,1325001
bsplinePsd,TRUE,0.990934133529663,13329
charlatan,TRUE,2.0759129524231,648884
evaluator,TRUE,3.29805016517639,2154602
hNMF,TRUE,0.971132040023804,20986
PowerUpR,TRUE,1.2311110496521,48201
PWEALL,TRUE,0.977932929992676,32008
sdpt3r,TRUE,2.8880090713501,2038902
BimodalIndex,TRUE,1.2285430431366,150095
breathtestcore,TRUE,1.19746494293213,123887
clickR,TRUE,0.97031307220459,13160
dataPreparation,TRUE,3.0898380279541,1251032
fergm,TRUE,4.65373492240906,3496486
GenAlgo,TRUE,1.78631401062012,309477
pinyin,TRUE,1.63887000083923,312215
pivottabler,TRUE,2.56503891944885,1544255
bcROCsurface,TRUE,2.21202683448792,752173
bookdownplus,TRUE,2.37745881080627,1099466
grattan,TRUE,1.85089802742004,590037
queuecomputer,TRUE,1.15269207954407,49600
cosinor2,TRUE,0.997723817825317,19347
crminer,TRUE,2.09456300735474,954061
define,TRUE,1.65800309181213,394805
dendroTools,TRUE,1.09805989265442,63887
dslabs,TRUE,0.949394941329956,5625
readJDX,TRUE,1.31490588188171,230698
stormwindmodel,TRUE,3.46336603164673,3098003
analytics,TRUE,1.79071092605591,6083
touch,TRUE,1.11185002326965,69119
GSED,TRUE,1.19946694374084,11041
hoardr,TRUE,1.44170880317688,288906
psychmeta,TRUE,1.33318209648132,312802
Rnightlights,TRUE,1.13555288314819,73671
treemapify,TRUE,3.7641589641571,1093892
bamlss,TRUE,2.77518892288208,1200471
mMPA,TRUE,1.10350203514099,52511
mrfDepth,TRUE,1.43284296989441,446434
antaresViz,TRUE,1.63926982879639,757139
BatchGetSymbols,TRUE,1.45270800590515,524773
FLightR,TRUE,2.3868191242218,1848018
GetLattesData,TRUE,3.20926594734192,2757153
GROAN,TRUE,1.4445059299469,416951
itunesr,TRUE,0.965262889862061,3722
partialCI,TRUE,2.31155800819397,563735
Rodam,TRUE,0.985843181610107,23088
stacomiR,TRUE,1.65490388870239,895816
tidyselect,TRUE,1.08680701255798,18670
airGR,TRUE,2.61528301239014,573066
emdi,TRUE,2.96041893959045,888218
NetworkChange,TRUE,0.990812063217163,32289
wooldridge,TRUE,4.77290105819702,2562868
EFAutilities,TRUE,1.15897297859192,41643
mindr,TRUE,2.94249606132507,453395
nucim,TRUE,0.959196090698242,11203
billboarder,TRUE,3.59995698928833,1294156
c212,TRUE,1.77984499931335,286930
easyreg,TRUE,1.43730497360229,20313
psda,TRUE,0.96875,8694
sptemExp,TRUE,5.42450499534607,4008631
pollen,TRUE,1.10282588005066,67871
ratelimitr,TRUE,4.08414602279663,12015
rmapzen,TRUE,4.02085709571838,270418
wallace,TRUE,4.89359593391418,899437
bazar,TRUE,3.1748321056366,16339
googledrive,TRUE,5.2692129611969,1556235
pdSpecEst,TRUE,2.53242707252502,35652
spmoran,TRUE,1.56513285636902,537166
CMatching,TRUE,1.00135707855225,40634
comtradr,TRUE,1.048996925354,14103
PWFSLSmoke,TRUE,4.13831806182861,1348793
uiucthemes,TRUE,2.33685493469238,22330
auk,TRUE,7.53592801094055,699578
Delta,TRUE,1.65898084640503,18502
partitionComparison,TRUE,1.64599013328552,97434
rjmcmc,TRUE,1.91604089736938,431568
soundgen,TRUE,7.64154195785522,1689569
spatstat.data,TRUE,3.07289481163025,2633518
TileManager,TRUE,1.85656380653381,518442
ClassDiscovery,TRUE,1.65505981445312,507170
dataMaid,TRUE,1.09112691879272,87629
mdsOpt,TRUE,0.965121030807495,10257
odr,TRUE,1.13786101341248,52477
PeakSegJoint,TRUE,1.74443507194519,724009
RcmdrPlugin.RiskDemo,TRUE,4.50429916381836,4964159
vein,TRUE,2.17208313941956,1256945
tensorBF,TRUE,1.01187801361084,19138
WeightedROC,TRUE,1.81970405578613,292458
carData,TRUE,1.59456920623779,302475
loon,TRUE,2.31621408462524,875747
metaplot,TRUE,1.13980102539062,32166
nanotime,TRUE,0.964824914932251,11238
nonmemica,TRUE,1.38159203529358,165477
clustermq,TRUE,4.99682998657227,34271
fDMA,TRUE,0.981885194778442,38966
LearnGeom,TRUE,1.09917306900024,68308
shadow,TRUE,2.38547992706299,874501
antaresProcessing,TRUE,0.983000040054321,41221
BETS,TRUE,1.43738603591919,228482
ecm,TRUE,0.955072164535522,7050
scalpel,TRUE,5.23907804489136,3520838
textreadr,TRUE,3.27566409111023,348782
ggridges,TRUE,3.57176208496094,1344388
boxcoxmix,TRUE,2.10379695892334,19040
seplyr,TRUE,1.57268309593201,11766
frequencyConnectedness,TRUE,1.5104341506958,161089
grf,TRUE,2.33092188835144,874040
parallelDist,TRUE,1.20427107810974,127188
revengc,TRUE,2.07158398628235,1587173
smapr,TRUE,1.30991792678833,263308
geex,TRUE,1.20138001441956,142974
geojsonR,TRUE,0.978929042816162,25134
jtools,TRUE,1.4271080493927,518681
sparsepp,TRUE,1.11465191841125,78288
uGMAR,TRUE,1.12782502174377,72644
HEMDAG,TRUE,1.34153389930725,335620
RInno,TRUE,1.76473712921143,959633
datasauRus,TRUE,1.51332592964172,6e+05
gravity,TRUE,1.45509195327759,284438
phuse,TRUE,1.04294681549072,29114
rcoreoa,TRUE,1.11730694770813,72923
ROptSpace,TRUE,0.951005935668945,5208
BayLum,TRUE,4.34174299240112,939315
CIAAWconsensus,TRUE,0.984856128692627,15201
dataCompareR,TRUE,1.32061409950256,309854
replyr,TRUE,1.31599187850952,135231
hetGP,TRUE,1.29827094078064,60682
later,TRUE,0.993408918380737,29359
ReIns,TRUE,1.93815112113953,507705
gdns,TRUE,0.95815896987915,10319
mbir,TRUE,1.58548092842102,675473
aiRthermo,TRUE,1.61002588272095,329322
graphon,TRUE,1.01940298080444,15860
hIRT,TRUE,1.09292411804199,86384
reprex,TRUE,0.980876922607422,22827
usmap,TRUE,3.30090093612671,1661349
BLPestimatoR,TRUE,0.981508016586304,25568
spData,TRUE,2.06306982040405,595950
LabourMarketAreas,TRUE,1.14024305343628,66402
mize,TRUE,1.32274413108826,318359
moveVis,TRUE,1.19459795951843,82692
sgmcmc,TRUE,3.30562877655029,4468383
document,TRUE,1.06712102890015,30584
EnvCpt,TRUE,0.95583701133728,10907
HDtest,TRUE,1.42025518417358,432514
knor,TRUE,1.20500898361206,116979
nse,TRUE,0.993036985397339,37300
SimPhe,TRUE,1.21806001663208,147887
bigstep,TRUE,1.01618909835815,15524
bomrang,TRUE,3.08627820014954,2139752
geosapi,TRUE,1.0957179069519,32003
getCRUCLdata,TRUE,1.03038001060486,18241
ggmosaic,TRUE,5.69885206222534,1253022
grec,TRUE,2.40746903419495,857823
merDeriv,TRUE,1.38279795646667,4523
odpc,TRUE,1.19989991188049,12133
sjlabelled,TRUE,1.36540412902832,123916
fastnet,TRUE,0.991230010986328,24466
IncDTW,TRUE,0.956279039382935,5621
mixKernel,TRUE,2.4135320186615,875367
PhylogeneticEM,TRUE,1.39445614814758,280241
prettycode,TRUE,1.21101713180542,175149
scorecard,TRUE,0.985308170318604,34510
zoocat,TRUE,1.65240502357483,852622
BIGL,TRUE,1.30213809013367,274425
datasets.load,TRUE,0.95046591758728,5532
ghibli,TRUE,1.08663296699524,92078
naniar,TRUE,2.45133996009827,1895830
penaltyLearning,TRUE,4.66982102394104,3374936
rly,TRUE,1.14191913604736,53076
udpipe,TRUE,5.04887509346008,2529132
redR,TRUE,1.30592584609985,245763
reportROC,TRUE,0.983290910720825,5075
fitur,TRUE,0.956605911254883,9518
ggdmc,TRUE,1.24383497238159,144124
healthcareai,TRUE,1.96328711509705,1267370
fastR2,TRUE,1.98694682121277,810356
gamesGA,TRUE,0.948967933654785,13225
iMediate,TRUE,0.952553033828735,4090
sinew,TRUE,0.94582986831665,7266
taxonomizr,TRUE,0.993328094482422,24997
bayesImageS,TRUE,3.58982419967651,2011456
intccr,TRUE,1.09524893760681,16617
lero.lero,TRUE,0.961731910705566,1071
OOBCurve,TRUE,0.953611850738525,3582
PeerPerformance,TRUE,1.19044399261475,130655
RiskPortfolios,TRUE,1.07464599609375,63843
covatest,TRUE,1.21879076957703,121510
fdANOVA,TRUE,1.45047092437744,501355
cytometree,TRUE,1.09174489974976,51900
SSLASSO,TRUE,0.95212197303772,7928
eDMA,TRUE,1.76250505447388,763408
MCMCvis,TRUE,2.88982701301575,1844189
tidycensus,TRUE,0.993006944656372,33910
vpc,TRUE,2.22110986709595,1077381
bgsmtr,TRUE,1.22204494476318,184185
mclustcomp,TRUE,0.958520889282227,10119
supc,TRUE,2.18999791145325,991167
startup,TRUE,0.956897974014282,12296
symDMatrix,TRUE,0.995045185089111,35363
TeXCheckR,TRUE,3.20944714546204,2677378
tfruns,TRUE,1.20153594017029,124872
adiv,TRUE,1.1012749671936,107083
BGData,TRUE,1.11698317527771,96686
gsynth,TRUE,1.10075688362122,90379
keras,TRUE,2.66424298286438,1516474
perccalc,TRUE,1.16612982749939,52532
quickmatch,TRUE,1.16393685340881,49342
rtrim,TRUE,1.31985712051392,264947
scclust,TRUE,1.19015884399414,107995
stepPenal,TRUE,0.955955028533936,11893
