"","pkg_name_vec","pkg_title.df"
"gcite","gcite","Google Citation Parser"
"EdSurvey","EdSurvey","Education Survey"
"fdq","fdq","Forest Data Quality"
"RBesT","RBesT","R Bayesian Evidence Synthesis Tools"
"recipes","recipes","Preprocessing Tools to Create Design Matrices"
"tensorflow","tensorflow","R Interface to TensorFlow"
"BART","BART","Bayesian Additive Regression Trees"
"cleanNLP","cleanNLP","A Tidy Data Model for Natural Language Processing"
"lvnet","lvnet","Latent Variable Network Modeling"
"pinbasic","pinbasic","Fast and Stable Estimation of the Probability of Informed"
"RcppMsgPack","RcppMsgPack","'MsgPack' C++ Header Files"
"SpaDES.core","SpaDES.core","Core Utilities for Developing and Running Spatially Explicit"
"valr","valr","Genome Interval Arithmetic in R"
"ggeffects","ggeffects","Create Tidy Data Frames of Marginal Effects for 'ggplot' from"
"wTO","wTO","Computing Weighted Topological Overlaps (wTO) & Consensus wTO"
"ems","ems","Epimed Solutions Collection for Data Editing, Analysis, and"
"GENEAclassify","GENEAclassify","Segmentation and Classification of Accelerometer Data"
"jmv","jmv","The 'jamovi' Analyses"
"reproducible","reproducible","A Set of Tools that Enhance Reproducibility Beyond Package"
"canvasXpress","canvasXpress","Visualization Package for CanvasXpress in R"
"divest","divest","Get Images Out of DICOM Format Quickly"
"FRegSigCom","FRegSigCom","Functional Regression using Signal Compression Approach"
"hommel","hommel","Methods for Closed Testing with Simes Inequality, in Particular"
"pkggraph","pkggraph","A Consistent and Intuitive Platform to Explore the Dependencies"
"POUMM","POUMM","The Phylogenetic Ornstein-Uhlenbeck Mixed Model"
"Rdimtools","Rdimtools","Dimension Reduction and Estimation Methods"
"wrapr","wrapr","Wrap R Functions for Debugging and Ease of Use"
"DescToolsAddIns","DescToolsAddIns","Some Functions to be Used as Shortcuts in 'RStudio'"
"giphyr","giphyr","R Interface to the 'Giphy' 'API'"
"GJRM","GJRM","Generalised Joint Regression Modelling"
"LNIRT","LNIRT","LogNormal Response Time Item Response Theory Models"
"mnreadR","mnreadR","MNREAD Parameters Estimation"
"palm","palm","Fitting Point Process Models via the Palm Likelihood"
"personalized","personalized","Estimation and Validation Methods for Subgroup Identification"
"configr","configr","An Implementation of Parsing and Writing Configuration File"
"dimRed","dimRed","A Framework for Dimensionality Reduction"
"helixvis","helixvis","Visualize Alpha-Helical Peptide Sequences"
"skpr","skpr","Generate and Evaluate Optimal"
"sys","sys","Portable System Utilities"
"fastLink","fastLink","Fast Probabilistic Record Linkage with Missing Data"
"fingertipsR","fingertipsR","Fingertips Data for Public Health"
"FSelectorRcpp","FSelectorRcpp","'Rcpp' Implementation of 'FSelector' Entropy-Based Feature"
"reqres","reqres","Powerful Classes for HTTP Requests and Responses"
"STARTS","STARTS","Functions for the STARTS Model"
"AMCTestmakeR","AMCTestmakeR","Generate LaTeX Code for Auto-Multiple-Choice (AMC)"
"nandb","nandb","Number and Brightness Image Analysis"
"Rcrawler","Rcrawler","Web Crawler and Scraper"
"reportReg","reportReg","An Easy Way to Report Regression Analysis"
"aphid","aphid","Analysis with Profile Hidden Markov Models"
"gastempt","gastempt","Analyzing Gastric Emptying from MRI or Scintigraphy"
"antiword","antiword","Extract Text from Microsoft Word Documents"
"arsenal","arsenal","An Arsenal of 'R' Functions for Large-Scale Statistical"
"dtangle","dtangle","Cell Type Deconvolution from Gene Expressions"
"httptest","httptest","A Test Environment for HTTP Requests"
"idefix","idefix","Efficient Designs for Discrete Choice Experiments"
"MALDIrppa","MALDIrppa","MALDI Mass Spectrometry Data Robust Pre-Processing and Analysis"
"quickPlot","quickPlot","A System of Plotting Optimized for Speed and Modularity"
"survHE","survHE","Survival Analysis in Health Economic Evaluation"
"unrtf","unrtf","Extract Text from Rich Text Format (RTF) Documents"
"walker","walker","Efficient Bayesian Linear Regression with Time-Varying"
"MADPop","MADPop","MHC Allele-Based Differencing Between Populations"
"memapp","memapp","The Moving Epidemics Method Shiny Web Application"
"breathteststan","breathteststan","Stan-Based Fit to Gastric Emptying Curves"
"elasticsearchr","elasticsearchr","A Lightweight Interface for Interacting with Elasticsearch from"
"exampletestr","exampletestr","Help for Writing Tests Based on Function Examples"
"gggenes","gggenes","Draw Gene Arrow Maps in 'ggplot2'"
"huxtable","huxtable","Simply Create LaTeX and HTML Tables"
"worrms","worrms","World Register of Marine Species (WoRMS) Client"
"mdmb","mdmb","Model Based Treatment of Missing Data"
"webmockr","webmockr","Stubbing and Setting Expectations on 'HTTP' Requests"
"WVPlots","WVPlots","Common Plots for Analysis"
"augSIMEX","augSIMEX","Analysis of Data with Mixed Measurement Error and"
"autothresholdr","autothresholdr","An R Port of the 'ImageJ' Plugin 'Auto Threshold'"
"eulerr","eulerr","Area-Proportional Euler Diagrams"
"jmvcore","jmvcore","Dependencies for the 'jamovi' Framework"
"semtree","semtree","Recursive Partitioning for Structural Equation Models"
"sessioninfo","sessioninfo","R Session Information"
"shinyWidgets","shinyWidgets","Custom Inputs Widgets for Shiny"
"spant","spant","MR Spectroscopy Analysis Tools"
"KarsTS","KarsTS","An Interface for Karstic Time Series"
"sigr","sigr","Format Significance Summaries for Reports"
"egg","egg","Extensions for 'ggplot2', to Align Plots, and Set Panel Sizes"
"numform","numform","Tools to Format Numbers for Publication"
"owmr","owmr","OpenWeatherMap API Wrapper"
"tidyRSS","tidyRSS","Tidy RSS for R"
"dexter","dexter","Data Management and Basic Analysis of Tests"
"redlistr","redlistr","Tools for the IUCN Red List of Ecosystems and Species"
"tesseract","tesseract","Open Source OCR Engine"
"VARtests","VARtests","Tests for Error Autocorrelation and ARCH Errors in Vector"
"hutils","hutils","Miscellaneous R Functions and Aliases"
"incidence","incidence","Compute, Handle, Plot and Model Incidence of Dated Events"
"automultinomial","automultinomial","Autologistic and Automultinomial Spatial Regression and Variable"
"flextable","flextable","Tabular Reporting API"
"gibble","gibble","Component Geometry Decomposition"
"mvord","mvord","Multivariate Ordinal Regression Models"
"RATest","RATest","Randomization Tests"
"restriktor","restriktor","Restricted Statistical Estimation and Inference for Linear"
