name,pkg_first
gcite,https://cran.r-project.org/src/contrib/Archive/gcite/gcite_0.6.tar.gz
EdSurvey,https://cran.r-project.org/src/contrib/Archive/EdSurvey/EdSurvey_1.0.5.tar.gz
fdq,https://cran.r-project.org/src/contrib/Archive/fdq/fdq_0.1.tar.gz
RBesT,https://cran.r-project.org/src/contrib/Archive/RBesT/RBesT_1.2-2.tar.gz
recipes,https://cran.r-project.org/src/contrib/Archive/recipes/recipes_0.1.0.tar.gz
tensorflow,https://cran.r-project.org/src/contrib/Archive/tensorflow/tensorflow_0.7.tar.gz
BART,https://cran.r-project.org/src/contrib/Archive/BART/BART_1.0.tar.gz
cleanNLP,https://cran.r-project.org/src/contrib/Archive/cleanNLP/cleanNLP_0.24.tar.gz
lvnet,https://cran.r-project.org/src/contrib/Archive/lvnet/lvnet_0.2.tar.gz
pinbasic,https://cran.r-project.org/src/contrib/Archive/pinbasic/pinbasic_0.1.0.tar.gz
RcppMsgPack,https://cran.r-project.org/src/contrib/Archive/RcppMsgPack/RcppMsgPack_0.1.1.tar.gz
SpaDES.core,https://cran.r-project.org/src/contrib/Archive/SpaDES.core/SpaDES.core_0.1.0.tar.gz
valr,https://cran.r-project.org/src/contrib/Archive/valr/valr_0.1.0.tar.gz
ggeffects,https://cran.r-project.org/src/contrib/Archive/ggeffects/ggeffects_0.1.0.tar.gz
wTO,https://cran.r-project.org/src/contrib/Archive/wTO/wTO_1.1.0.tar.gz
ems,https://cran.r-project.org/src/contrib/Archive/ems/ems_0.3.1.6.tar.gz
GENEAclassify,https://cran.r-project.org/src/contrib/Archive/GENEAclassify/GENEAclassify_1.4.5.tar.gz
jmv,https://cran.r-project.org/src/contrib/Archive/jmv/jmv_0.7.0.3.tar.gz
reproducible,https://cran.r-project.org/src/contrib/Archive/reproducible/reproducible_0.1.1.tar.gz
canvasXpress,https://cran.r-project.org/src/contrib/Archive/canvasXpress/canvasXpress_0.14.7.tar.gz
divest,https://cran.r-project.org/src/contrib/Archive/divest/divest_0.1.0.tar.gz
FRegSigCom,https://cran.r-project.org/src/contrib/Archive/FRegSigCom/FRegSigCom_0.1.0.tar.gz
hommel,https://cran.r-project.org/src/contrib/Archive/hommel/hommel_1.0.tar.gz
pkggraph,https://cran.r-project.org/src/contrib/Archive/pkggraph/pkggraph_0.2.0.tar.gz
POUMM,https://cran.r-project.org/src/contrib/Archive/POUMM/POUMM_1.2.1.tar.gz
Rdimtools,https://cran.r-project.org/src/contrib/Archive/Rdimtools/Rdimtools_0.1.0.tar.gz
wrapr,https://cran.r-project.org/src/contrib/Archive/wrapr/wrapr_0.1.0.tar.gz
DescToolsAddIns,https://cran.r-project.org/src/contrib/Archive/DescToolsAddIns/DescToolsAddIns_0.9.1.tar.gz
giphyr,https://cran.r-project.org/src/contrib/Archive/giphyr/giphyr_0.1.0.tar.gz
GJRM,https://cran.r-project.org/src/contrib/Archive/GJRM/GJRM_0.1-1.tar.gz
LNIRT,https://cran.r-project.org/src/contrib/Archive/LNIRT/LNIRT_0.1.0.tar.gz
mnreadR,https://cran.r-project.org/src/contrib/Archive/mnreadR/mnreadR_0.1.0.tar.gz
palm,https://cran.r-project.org/src/contrib/Archive/palm/palm_1.0.0.tar.gz
personalized,https://cran.r-project.org/src/contrib/Archive/personalized/personalized_0.0.2.tar.gz
configr,https://cran.r-project.org/src/contrib/Archive/configr/configr_0.0.2.tar.gz
dimRed,https://cran.r-project.org/src/contrib/Archive/dimRed/dimRed_0.0.3.tar.gz
helixvis,https://cran.r-project.org/src/contrib/Archive/helixvis/helixvis_0.1.0.tar.gz
skpr,https://cran.r-project.org/src/contrib/Archive/skpr/skpr_0.35.1.tar.gz
sys,https://cran.r-project.org/src/contrib/Archive/sys/sys_1.0.tar.gz
fastLink,https://cran.r-project.org/src/contrib/Archive/fastLink/fastLink_0.1.0.tar.gz
fingertipsR,https://cran.r-project.org/src/contrib/Archive/fingertipsR/fingertipsR_0.1.0.tar.gz
FSelectorRcpp,https://cran.r-project.org/src/contrib/Archive/FSelectorRcpp/FSelectorRcpp_0.1.0.tar.gz
reqres,https://cran.r-project.org/src/contrib/Archive/reqres/reqres_0.2.0.tar.gz
STARTS,https://cran.r-project.org/src/contrib/Archive/STARTS/STARTS_0.0-9.tar.gz
AMCTestmakeR,https://cran.r-project.org/src/contrib/Archive/AMCTestmakeR/AMCTestmakeR_0.1.0.tar.gz
nandb,https://cran.r-project.org/src/contrib/Archive/nandb/nandb_0.2.0.tar.gz
Rcrawler,https://cran.r-project.org/src/contrib/Archive/Rcrawler/Rcrawler_0.1.1.tar.gz
reportReg,https://cran.r-project.org/src/contrib/Archive/reportReg/reportReg_0.1.0.tar.gz
aphid,https://cran.r-project.org/src/contrib/Archive/aphid/aphid_1.0.0.tar.gz
gastempt,https://cran.r-project.org/src/contrib/Archive/gastempt/gastempt_0.4.01.tar.gz
antiword,https://cran.r-project.org/src/contrib/Archive/antiword/antiword_1.0.tar.gz
arsenal,https://cran.r-project.org/src/contrib/Archive/arsenal/arsenal_0.1.2.tar.gz
dtangle,https://cran.r-project.org/src/contrib/Archive/dtangle/dtangle_0.1.0.tar.gz
httptest,https://cran.r-project.org/src/contrib/Archive/httptest/httptest_1.0.0.tar.gz
idefix,https://cran.r-project.org/src/contrib/Archive/idefix/idefix_0.1.0.tar.gz
MALDIrppa,https://cran.r-project.org/src/contrib/Archive/MALDIrppa/MALDIrppa_1.0.0.tar.gz
quickPlot,https://cran.r-project.org/src/contrib/Archive/quickPlot/quickPlot_0.1.1.tar.gz
survHE,https://cran.r-project.org/src/contrib/Archive/survHE/survHE_1.0.4.tar.gz
unrtf,https://cran.r-project.org/src/contrib/Archive/unrtf/unrtf_1.0.tar.gz
