pkg_name,pkg_vig_any,pkg_vig_name,words_cnt
gcite,0,NA,NA
EdSurvey,1,vignettes/introduction.html,533
fdq,0,NA,NA
RBesT,1,vignettes/PoS_codata.html,2157
RBesT,1,vignettes/PoS_interim.html,530
RBesT,1,vignettes/customizing_plots.html,1105
RBesT,1,vignettes/introduction.html,1410
RBesT,1,vignettes/introduction_normal.html,1446
RBesT,1,vignettes/robustMAP.html,266
RBesT,1,vignettes/variances_MAP.html,627
recipes,1,vignettes/Custom_Steps.html,1435
recipes,1,vignettes/Dummies.html,1770
recipes,1,vignettes/Ordering.html,49
recipes,1,vignettes/Selecting_Variables.html,442
recipes,1,vignettes/Simple_Example.html,1120
recipes,1,vignettes/Skipping.html,369
tensorflow,0,NA,NA
BART,1,vignettes/hwbart.pdf,753
BART,1,vignettes/bincat.pdf,2838
BART,1,vignettes/computing.pdf,3279
BART,1,vignettes/cont1.pdf,1797
BART,1,vignettes/cont2.pdf,1181
BART,1,vignettes/time-to-event.pdf,3001
cleanNLP,1,vignettes/case_study.html,1350
lvnet,0,NA,NA
pinbasic,1,vignettes/pinbasicVignette.html,6155
RcppMsgPack,1,vignettes/vignette.html,105
SpaDES.core,1,vignettes/i-introduction.html,2551
SpaDES.core,1,vignettes/ii-modules.html,4434
valr,1,vignettes/valr.html,1558
ggeffects,1,vignettes/effectsatvalues.html,1314
ggeffects,1,vignettes/marginaleffects.html,1612
ggeffects,1,vignettes/plotmethod.html,575
ggeffects,1,vignettes/stata.html,554
wTO,1,vignettes/wTOvignette.html,851
ems,0,NA,NA
GENEAclassify,1,vignettes/GENEAclassifyDemo.html,2274
jmv,0,NA,NA
reproducible,1,vignettes/Intro-to-Cache.html,1702
canvasXpress,1,vignettes/additional_examples.html,727
canvasXpress,1,vignettes/getting_started.html,562
divest,0,NA,NA
FRegSigCom,0,NA,NA
hommel,0,NA,NA
pkggraph,1,vignettes/vignette_pkggraph.html,615
POUMM,1,vignettes/InterpretingPOUMM.html,1668
POUMM,1,vignettes/UserGuide.html,1646
Rdimtools,0,NA,NA
wrapr,1,vignettes/CornerCases.html,103
wrapr,1,vignettes/DebugFnW.html,534
wrapr,1,vignettes/FrameTools.html,308
wrapr,1,vignettes/Named_Arguments.html,266
wrapr,1,vignettes/QuotingConcatinate.html,370
wrapr,1,vignettes/SubstitutionModes.html,271
wrapr,1,vignettes/dot_pipe.html,125
wrapr,1,vignettes/lambda.html,148
wrapr,1,vignettes/let.html,374
wrapr,1,vignettes/named_map_builder.html,158
wrapr,1,vignettes/wrapr_applicable.html,329
wrapr,1,vignettes/wrapr_let.pdf,2607
wrapr,1,vignettes/wrapr_pipe.pdf,2279
DescToolsAddIns,0,NA,NA
giphyr,0,NA,NA
GJRM,0,NA,NA
LNIRT,0,NA,NA
mnreadR,0,NA,NA
palm,0,NA,NA
personalized,1,vignettes/usage_of_the_personalized_package.html,3954
configr,1,vignettes/configr.html,1888
configr,1,vignettes/filetypes.html,99
dimRed,1,vignettes/dimensionality-reduction.pdf,6754
helixvis,1,vignettes/intro.html,365
skpr,0,NA,NA
sys,0,NA,NA
