pkg_name,pkg_vig_any,pkg_vig_name,pkg_vig_url,words_cnt,error_msg
gcite,0,NA,NA,NA,NA
EdSurvey,1,vignettes/introduction.html,https://cran.r-project.org/web/packages/EdSurvey/vignettes/introduction.html,533,NA
fdq,0,NA,NA,NA,NA
RBesT,1,vignettes/PoS_codata.html,https://cran.r-project.org/web/packages/RBesT/vignettes/PoS_codata.html,2157,NA
RBesT,1,vignettes/PoS_interim.html,https://cran.r-project.org/web/packages/RBesT/vignettes/PoS_interim.html,530,NA
RBesT,1,vignettes/customizing_plots.html,https://cran.r-project.org/web/packages/RBesT/vignettes/customizing_plots.html,1105,NA
RBesT,1,vignettes/introduction.html,https://cran.r-project.org/web/packages/RBesT/vignettes/introduction.html,1410,NA
RBesT,1,vignettes/introduction_normal.html,https://cran.r-project.org/web/packages/RBesT/vignettes/introduction_normal.html,1446,NA
RBesT,1,vignettes/robustMAP.html,https://cran.r-project.org/web/packages/RBesT/vignettes/robustMAP.html,266,NA
RBesT,1,vignettes/variances_MAP.html,https://cran.r-project.org/web/packages/RBesT/vignettes/variances_MAP.html,627,NA
recipes,1,vignettes/Custom_Steps.html,https://cran.r-project.org/web/packages/recipes/vignettes/Custom_Steps.html,1435,NA
recipes,1,vignettes/Dummies.html,https://cran.r-project.org/web/packages/recipes/vignettes/Dummies.html,1770,NA
recipes,1,vignettes/Ordering.html,https://cran.r-project.org/web/packages/recipes/vignettes/Ordering.html,49,NA
recipes,1,vignettes/Selecting_Variables.html,https://cran.r-project.org/web/packages/recipes/vignettes/Selecting_Variables.html,442,NA
recipes,1,vignettes/Simple_Example.html,https://cran.r-project.org/web/packages/recipes/vignettes/Simple_Example.html,1120,NA
recipes,1,vignettes/Skipping.html,https://cran.r-project.org/web/packages/recipes/vignettes/Skipping.html,369,NA
tensorflow,0,NA,NA,NA,NA
BART,1,vignettes/hwbart.pdf,https://cran.r-project.org/web/packages/BART/vignettes/hwbart.pdf,753,NA
BART,1,vignettes/bincat.pdf,https://cran.r-project.org/web/packages/BART/vignettes/bincat.pdf,2838,NA
BART,1,vignettes/computing.pdf,https://cran.r-project.org/web/packages/BART/vignettes/computing.pdf,3279,NA
BART,1,vignettes/cont1.pdf,https://cran.r-project.org/web/packages/BART/vignettes/cont1.pdf,1797,NA
BART,1,vignettes/cont2.pdf,https://cran.r-project.org/web/packages/BART/vignettes/cont2.pdf,1181,NA
BART,1,vignettes/time-to-event.pdf,https://cran.r-project.org/web/packages/BART/vignettes/time-to-event.pdf,3001,NA
cleanNLP,1,vignettes/case_study.html,https://cran.r-project.org/web/packages/cleanNLP/vignettes/case_study.html,1350,NA
lvnet,0,NA,NA,NA,NA
